,Price[NIS],Property_type,City,Address,Rooms,Floor,Area[m^2],Parking_spots
72,3900000,Apartment,Rishon LeTsiyon,Lubman St.  5,6.5,3.0,180,2
73,1740000,Garden apt,Holon,Geulim St. ,3.0,0.0,75,1
74,1640000,Garden apt,Holon,Ha-Sigalon St. ,2.0,0.0,65,1
75,2570000,Duplex,Ramat Hasharon,Ussishkin St. ,5.0,3.0,195,0
76,1320000,Apartment,Petah Tikva,Perets Naftali St. ,3.0,1.0,75,1
77,1650000,Apartment,Petah Tikva,Herzl St. ,5.0,1.0,98,1
78,2280000,Rooftop apt,Petah Tikva,Ha-Morim St. ,6.0,6.0,125,1
79,6250000,Apartment,Tel Aviv-Yafo,Derech Menachem Begin  144,4.0,42.0,138,1
80,1500000,Apartment,Rishon LeTsiyon,Yehuda Halevi St. ,4.0,3.0,90,1
81,4850000,Cottage/house,Tel Aviv-Yafo,David Tritch St.  11,5.0,1.0,120,1
82,2780000,Penthouse,Bat Yam,Ha-Reshet St. ,4.0,7.0,104,1
83,3750000,Apartment,Tel Aviv-Yafo,Simtat Beit HaShoeva ,3.0,1.0,70,1
84,1500000,Apartment,Bat Yam,Metsada St. ,3.0,5.0,75,0
85,1590000,Apartment,Rishon LeTsiyon,Arye Refael St. ,3.5,3.0,95,1
86,2500000,Apartment,Rishon LeTsiyon,Gevim St. ,4.0,14.0,95,1
87,2290000,Triplex,Ramat Hasharon,Sokolov St. ,4.0,2.0,110,1
88,6650000,Duplex,Tel Aviv-Yafo,Uri Tsvi Grinberg St. ,4.0,9.0,160,1
89,5900000,Penthouse,Tel Aviv-Yafo,Ir Shemesh St. ,5.0,3.0,185,2
90,3800000,Apartment,Tel Aviv-Yafo,Yehuda Amichai St.  13,3.0,2.0,94,1
91,13900000,Penthouse,Tel Aviv-Yafo,Kinneret St. ,5.0,3.0,170,2
92,1300000,Apartment,Bat Yam,HaRav Uziel St. ,3.5,4.0,85,1
93,1470000,Apartment,Bat Yam,Dolfin St. ,3.0,2.0,75,0
94,5500000,Apartment,Bat Yam,Yitshak Sadeh St.  6,5.0,38.0,140,3
95,7000000,Villa,Rishon LeTsiyon,Mivtsa Dani St. ,7.0,3.0,420,2
96,3150000,Apartment,Tel Aviv-Yafo,Moshe Vilenski St. ,3.0,5.0,82,1
97,3100000,Apartment,Rishon LeTsiyon,Ahi Lahav St. ,4.0,6.0,110,2
98,1590000,Apartment,Bat Yam,Ha-Tsipornim St.  7,3.0,2.0,70,0
99,2500000,Duplex,Rishon LeTsiyon,Ha-Psanter St.  7,5.0,7.0,140,2
100,3150000,Garden apt,Tel Aviv-Yafo,Ben Yehuda St. ,2.5,0.0,77,0
101,3600000,Apartment,Tel Aviv-Yafo,Ovadya ha-Navi St. ,3.0,1.0,85,0
102,2450000,Apartment,Rishon LeTsiyon,Mordekhai Moteleh Rosenstein St. ,4.0,1.0,96,1
103,1350000,Garden apt,Ari'el,Derech HaTsiyonut  17,5.0,0.0,120,0
104,1560000,Apartment,Bat Yam,Ha-Neviim St.  79,3.0,4.0,67,0
105,1560000,Apartment,Holon,HaRav Kuk St. ,4.0,1.0,85,0
106,2550000,Penthouse,Holon,Tsvi Shapira St. ,4.0,6.0,171,1
107,1525000,Apartment,Rishon LeTsiyon,Anielewicz St. ,3.0,2.0,80,0
108,1750000,Apartment,Ashdod,Nahal Snir St. ,4.0,2.0,115,1
109,5500000,Duplex,Rishon LeTsiyon,Ahi Lahav St. ,5.0,21.0,150,3
110,1850000,Apartment,Rishon LeTsiyon,Ha-Mapukhit St. ,3.5,1.0,90,1
111,2700000,Apartment,Rishon LeTsiyon,Heyl Ha-Tzanhanim St. ,7.0,4.0,170,3
112,1450000,Apartment,Petah Tikva,Yekutiel Adam St. ,3.5,3.0,70,0
113,1680000,Apartment,Petah Tikva,Eliyahu Golomb St. ,4.5,2.0,115,1
114,1200000,Apartment,Petah Tikva,Tiberias St. ,3.0,4.0,60,0
115,3450000,Cottage/house,Ramla,Ha-Rav Khayim Ben Atar St. ,7.0,3.0,230,2
116,2900000,Apartment,Tel Aviv-Yafo,Kitzis St.  14,4.5,6.0,90,1
